Product Name,Product URL,Image URL,Old Price,Deal Price,Rating,Number of Ratings,Delivery Date
"boAt Rockerz 335 Wireless Neckband with ASAP Charge, Up to 30H Playback, Qualcomm aptX & CVC, Enhanced Bass, Metal Control Board, IPX5, Type C Port, Bluetooth v5.0, Voice Assistant(Ocean Blue)",https://www.amazon.in/Rockerz-335-Wireless-Bluetooth-Assistant/dp/B08G5YNZXK/ref=sr_1_28?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737907&rnid=1388921031&s=electronics&smid=A14CZOWI0VEHLG&sr=1-28,https://m.media-amazon.com/images/I/61c330VdIHL._AC_UL320_.jpg,"₹3,990","₹1,599",4.1,"10,945",30/04/2021
boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),https://www.amazon.in/Boat-BassHeads-100-Inspired-Earphones/dp/B07GQD4K6L/ref=sr_1_29?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737907&rnid=1388921031&s=electronics&sr=1-29,https://m.media-amazon.com/images/I/61l+14s5QVL._AC_UL320_.jpg,₹999,₹399,4.1,"152,175",30/04/2021
Xiaomi Mi Earphone Basic with Ultra deep bass and mic (Blue),https://www.amazon.in/Mi-Earphone-Basic-Ultra-deep/dp/B07QJYB8BC/ref=sr_1_30?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737907&rnid=1388921031&s=electronics&sr=1-30,https://m.media-amazon.com/images/I/610co8JoMtL._AC_UL320_.jpg,₹599,₹429,4.1,"72,305",
JBL C50HI in-Ear Headphones with Mic (Black),https://www.amazon.in/JBL-C50HI-Ear-Headphones-Black/dp/B07JQKQ91F/ref=sr_1_31?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737907&rnid=1388921031&s=electronics&sr=1-31,https://m.media-amazon.com/images/I/61bKM6CSSFL._AC_UL320_.jpg,₹999,₹499,3.8,"42,958",30/04/2021
"Boat Rockerz 335 Wireless Neckband with ASAP Charge, Up to 30H Playback, Qualcomm aptX & CVC, Enhanced Bass, Metal Control Board, IPX5, Type C Port, Bluetooth v5.0, Voice Assistant(Active Black)",https://www.amazon.in/Boat-Rockerz-335-Bluetooth-Assistant/dp/B08R7L4SHV/ref=sr_1_32?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737907&rnid=1388921031&s=electronics&smid=A14CZOWI0VEHLG&sr=1-32,https://m.media-amazon.com/images/I/61cC5FjgF1L._AC_UL320_.jpg,"₹3,990","₹1,599",4.1,"10,945",30/04/2021
boAt Bassheads 152 in Ear Wired Earphones with Mic(Active Black),https://www.amazon.in/BassHeads-152-ToneSecure-Braided-Earphones/dp/B07KY3FNQP/ref=sr_1_33?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737907&rnid=1388921031&s=electronics&sr=1-33,https://m.media-amazon.com/images/I/61wO4-s+yYL._AC_UL320_.jpg,"₹1,290",₹499,4.1,"32,972",30/04/2021
"pTron Pride Lite HBE (High Bass Earphones) in-Ear Wired Headphones with in-line Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling Headset with 1.2m Tangle-Free Cable & 3.5mm Aux - (Black)",https://www.amazon.in/Pride-Lite-Headphones-Cancelling-Tangle-Free/dp/B08SF85H45/ref=sr_1_34?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737907&rnid=1388921031&s=electronics&sr=1-34,https://m.media-amazon.com/images/I/51opLBd1kgL._AC_UL320_.jpg,₹899,₹249,3.9,"2,269",30/04/2021
OnePlus Bullets Wireless Z in-Ear Bluetooth Earphones with Mic (Mint),https://www.amazon.in/OnePlus-Bullets-Wireless-Bluetooth-Earphones/dp/B087VNBXP5/ref=sr_1_35?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737907&rnid=1388921031&s=electronics&sr=1-35,https://m.media-amazon.com/images/I/516sOjFfchL._AC_UL320_.jpg,"₹2,190","₹1,999",4.3,"102,235",01/05/2021
boAt Rockerz 255 Pro in-Ear Bluetooth Neckband Earphone with Mic(Teal Green),https://www.amazon.in/Rockerz-255-Pro-Technology-Resistance/dp/B082VSJPD6/ref=sr_1_36?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737907&rnid=1388921031&s=electronics&smid=A14CZOWI0VEHLG&sr=1-36,https://m.media-amazon.com/images/I/61bPTboEr+L._AC_UL320_.jpg,"₹3,499","₹1,299",4.0,"213,833",30/04/2021
boAt Rockerz 255 Sports in-Ear Bluetooth Neckband Earphone with Mic(Neon),https://www.amazon.in/255-Bluetooth-Wireless-Earphone-Immersive/dp/B07C2VJFDW/ref=sr_1_37?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737907&rnid=1388921031&s=electronics&sr=1-37,https://m.media-amazon.com/images/I/61BSpkRG7dL._AC_UL320_.jpg,"₹2,990","₹1,299",4.0,"213,833",30/04/2021
